Img,Name,Price,Rating(out of 5),Specs_Score(out of 100),OS,Core,Thread,Screen_Size(in inches),Screen_Resolution(in pixels),Touch_Screen,warranty(in years),RAM_size,RAM_technology,GPU_Brand,GPU_Model,GPU_VRAM,GPU_Type,Capacity,Storage_Type,Generation,Brand,Family,Model
https://cdn1.smartprix.com/rx-iFWakgnba-w280-h280/asus-expertbook-p1-p.webp,Asus Expertbook P1 P1503CVA-S71075WS ,56990,4.6,59,Windows 11 ,8.0,12.0,15.6 , 1920 x 1080 ,0,1,32 ,DDR5,Intel,Integrated UHD,Shared/Unknown,Integrated,512 GB,SSD,13th Gen,Intel,Core i5,13420H
https://cdn1.smartprix.com/rx-iRe7ozJWD-w280-h280/lenovo-v15-g4-82c700.webp,Lenovo V15 G4 ‎82C70081GE ,34790,4.35,61,Windows 11 ,4.0,8.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR5,AMD,Integrated  Radeon 610M Graphics,Shared/Unknown,Integrated,512 GB,SSD,7th Gen,AMD,Ryzen 5,7520U
https://cdn1.smartprix.com/rx-ifsyyr3XR-w280-h280/hp-victus-15-fb3012a.webp,HP Victus 15-fb3012AX Gaming ,67940,4.1,72,Windows 11 ,6.0,12.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR5,NVIDIA,GeForce RTX 3050,6 GB,Dedicated,512 GB,SSD,8th Gen,AMD,Ryzen 5,8645HS
https://cdn1.smartprix.com/rx-i1U6ZPPZL-w280-h280/infinix-xbook-b15-se.webp,Infinix XBOOK B15 Series BL51A5 ,34990,4.4,64,Windows 11 ,8.0,16.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR4,AMD,Radeon,Shared/Unknown,Dedicated,512 GB,SSD,5th Gen,AMD,Ryzen 7,5825U
https://cdn1.smartprix.com/rx-iAwh1cD03-w280-h280/hp-245-g10-laptop-am.webp,HP 245 G10 ,29690,4.45,55,Windows 11 ,4.0,8.0,14 , 1366 x 768 ,0,1,8 ,DDR4,AMD,Radeon Graphics,Shared/Unknown,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 5,7520U
https://cdn1.smartprix.com/rx-iuprVsTCG-w280-h280/lenovo-loq-2024-83gs.webp,Lenovo LOQ 2024 83GS003VIN Gaming ,72990,4.15,66,Windows 11 ,8.0,12.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR5,NVIDIA,GeForce RTX 4050,6 GB,Dedicated,512 GB,SSD,12th Gen,Intel,Core i5,12450HX
https://cdn1.smartprix.com/rx-ivl17P4n6-w280-h280/dell-g15-5530-gaming.webp,Dell G15-5530 Gaming ,84990,4.6,68,Windows 11 ,10.0,16.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR5,NVIDIA,GeForce RTX 3050,6 GB,Dedicated,1 TB,SSD,13th Gen,Intel,Core i5,13450HX
https://cdn1.smartprix.com/rx-iwKbUUYsj-w280-h280/apple-macbook-air-20.webp,Apple MacBook Air 2025 ,89900,4.75,45,Mac ,10.0,,13.6 , 2560 x 1664 ,0,1,16 ,RAM,Apple,8 Core GPU,Shared/Unknown,Integrated,256 GB,SSD,Apple M4,Apple,M4,M4
https://cdn1.smartprix.com/rx-ixDx75GrN-w280-h280/samsung-galaxy-book.webp,Samsung Galaxy Book 4 NP750XGJ-LG4IN ,38990,4.4,54,Windows 11 ,6.0,8.0,15.6 , 1920 x 1080 ,0,1,8 ,LPDDR4x,Intel,Graphics,Shared/Unknown,Integrated,512 GB,SSD,13th Gen,Intel,Core i3,1315U
https://cdn1.smartprix.com/rx-i0iMdi6rS-w280-h280/lenovo-thinkbook-16.webp,Lenovo ThinkBook 16 21MWA0BSIN ,45150,4.75,65,Windows 11 ,6.0,12.0,16 , 1920 x 1200 ,0,1,16 ,DDR5,AMD,Radeon Graphics,Shared/Unknown,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 5,7535HS
https://cdn1.smartprix.com/rx-iDIxx1KCW-w280-h280/acer-aspire-lite-al1.webp,Acer Aspire Lite AL15-52H ,42499,4.75,56,Windows 11 ,8.0,12.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR4,Intel,UHD Graphics,Shared/Unknown,Integrated,512 GB,SSD,12th Gen,Intel,Core i5,12450H
https://cdn1.smartprix.com/rx-iiYh36MgZ-w280-h280/hp-victus-16-r1705tx.webp,HP Victus 16-r1705TX Gaming ,79990,4.65,72,Windows 11 ,10.0,16.0,16.1 , 1920 x 1080 ,0,1,16 ,DDR5,NVIDIA,GeForce RTX 3050,6 GB,Dedicated,512 GB,SSD,14th Gen,Intel,Core i5,14450HX
