Laptop_Brand,OS,CPU_Power,Generation,RAM_size,RAM_technology,Capacity(in GB),Storage_Type,GPU_Brand,GPU_Type,Touch_Screen,screen_size_category,Display_quality,warranty_group,Performance per price
Asus,Windows 11 ,96.0,13th Gen,32.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0010352693454992103
Lenovo,Windows 11 ,32.0,7th Gen,16.0,DDR5,512,SSD,AMD,Integrated,0,Medium,Standard HD,low,0.0017533774073009486
HP,Windows 11 ,72.0,8th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0010597586105387106
Infinix,Windows 11 ,128.0,5th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0018290940268648186
HP,Windows 11 ,32.0,7th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.001852475581003705
Lenovo,Windows 11 ,96.0,12th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009042334566378956
Dell,Windows 11 ,160.0,13th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.000800094128721026
Apple,Mac ,,Apple M4,16.0,RAM,256,SSD,Apple,Integrated,0,Small,High Resolution,low,0.0005005561735261402
Samsung,Windows 11 ,48.0,13th Gen,8.0,LPDDR4X,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0013849705052577585
Lenovo,Windows 11 ,72.0,7th Gen,16.0,DDR5,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0014396456256921372
Acer,Windows 11 ,96.0,12th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0013176780630132475
HP,Windows 11 ,160.0,14th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Large,Standard HD,low,0.0009001125140642581
Asus,Windows 11 ,192.0,12th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0011230040357957537
HP,Windows 11 ,72.0,8th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0011668611435239206
HP,Windows 11 ,560.0,14th Gen,24.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0006015489886457628
Asus,Windows 11 ,128.0,7th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0010442712163553464
Lenovo,Windows 11 ,280.0,12th Gen,12.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007764797232908623
MSI,Windows 11 ,576.0,Intel Core Ultra,64.0,DDR5,6144,SSD,NVIDIA,Dedicated,0,Large,High Resolution,low,0.00015781252516143578
HP,Windows 11 ,128.0,8th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007778563491261743
Zebronics,Windows 11 ,120.0,12th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0016504126031507878
Apple,Mac ,,Apple M2,8.0,DDR4,256,SSD,Unknown,Dedicated,0,Small,High Resolution,low,0.0006667200042670081
Samsung,Windows 11 ,120.0,13th Gen,16.0,LPDDR4X,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0011067961165048543
Acer,Windows 11 ,4.0,Intel Celeron,8.0,DDR4,512,SSD,Intel,Integrated,0,Small,Standard HD,low,0.0021510755377688842
Asus,Windows 11 ,32.0,7th Gen,16.0,LPDDR5,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.001375687843921961
Lenovo,Windows 11 ,,13th Gen,24.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.000705134571456947
HP,Windows 11 ,48.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0015718776793369534
Acer,Windows 11 ,72.0,7th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0015641426703248802
Asus,Windows 11 ,32.0,7th Gen,8.0,LPDDR5,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0016672224074691564
HP,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0010756746555953955
HP,Windows 11 ,384.0,14th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Large,Standard HD,low,0.0006583881990165847
Apple,Mac ,,Apple M1,8.0,DDR4,256,SSD,Apple,Integrated,0,Small,High Resolution,low,0.0007891356212149018
HP,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0008834805800966828
Motorola,Windows 11 ,256.0,Intel Core Ultra,32.0,DDR5,1024,SSD,Intel,Integrated,0,Medium,High Resolution,low,0.0008766514384491912
Asus,Windows 11 ,96.0,13th Gen,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0010982545597175916
