img,model_name,price,rating,specs_score,generation,core_and_thread,ram,rom,graphic_card,size_and_resolution,os,warranty
https://cdn1.smartprix.com/rx-iFWakgnba-w280-h280/asus-expertbook-p1-p.webp,Asus Expertbook P1 P1503CVA-S71075WS Laptop (13th Gen Core i5/ 32GB/ 512GB/ Win11),"₹56,990",4.6,59Spec Score,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",32 GB DDR5 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iRe7ozJWD-w280-h280/lenovo-v15-g4-82c700.webp,Lenovo V15 G4 ‎82C70081GE Laptop (AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home),"₹34,790",4.35,61Spec Score,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",16 GB DDR5 RAM,512 GB SSD,Integrated AMD Radeon 610M Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-ifsyyr3XR-w280-h280/hp-victus-15-fb3012a.webp,HP Victus 15-fb3012AX Gaming Laptop (AMD Ryzen 5 8645HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹67,940",4.1,72Spec Score,8th Gen AMD Ryzen 5 8645HS,"Hexa Core, 12 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-i1U6ZPPZL-w280-h280/infinix-xbook-b15-se.webp,Infinix XBOOK B15 Series BL51A5 Laptop (AMD Ryzen 7 5825U/ 16GB/ 512GB SSD/ Win 11 Home),"₹34,990",4.4,64Spec Score,5th Gen AMD Ryzen 7 5825U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iAwh1cD03-w280-h280/hp-245-g10-laptop-am.webp,HP 245 G10 Laptop (AMD Ryzen 5 7520U/ 8GB RAM/ 512GB SSD/ Win11),"₹29,690",4.45,55Spec Score,7th Gen AMD Ryzen 5 7520U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iuprVsTCG-w280-h280/lenovo-loq-2024-83gs.webp,Lenovo LOQ 2024 83GS003VIN Gaming Laptop (Intel Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 4050 Graph),"₹72,990",4.15,66Spec Score,12th Gen Intel Core i5 12450HX,"Octa Core (4P + 4E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-ivl17P4n6-w280-h280/dell-g15-5530-gaming.webp,Dell G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),"₹84,990",4.6,68Spec Score,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iwKbUUYsj-w280-h280/apple-macbook-air-20.webp,Apple MacBook Air 2025 Laptop (Apple M4/ 16GB/ 256GB SSD/ MacOS),"₹89,900",4.75,45Spec Score,Apple M4,10 Cores (4P + 6E),16 GB RAM,256 GB SSD,Apple 8 Core GPU,"13.6 inches, 2560 x 1664 pixels",Mac OS,1 Year Warranty
https://cdn1.smartprix.com/rx-ixDx75GrN-w280-h280/samsung-galaxy-book.webp,Samsung Galaxy Book 4 NP750XGJ-LG4IN Laptop (13th Gen Intel Core i3-1315U/ 8GB/ 512GB SSD/ Win11),"₹38,990",4.4,54Spec Score,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8 GB LPDDR4x RAM,512 GB SSD,Intel Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-i0iMdi6rS-w280-h280/lenovo-thinkbook-16.webp,Lenovo ThinkBook 16 21MWA0BSIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win 11),"₹45,150",4.75,65Spec Score,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16 GB DDR5 RAM,512 GB SSD,AMD Radeon Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iDIxx1KCW-w280-h280/acer-aspire-lite-al1.webp,Acer Aspire Lite AL15-52H Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹42,499",4.75,56Spec Score,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iiYh36MgZ-w280-h280/hp-victus-16-r1705tx.webp,HP Victus 16-r1705TX Gaming Laptop (14th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB RTX3050 Graph),"₹79,990",4.65,72Spec Score,14th Gen Intel Core i5 14450HX,"10 Cores (6P + 4E), 16 Threads",16 GB DDR5 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
